datetime,open,high,low,close,volume
2024/07/26 00:00,22400,22511,22150,22256,20226
2024/07/29 00:00,22260,22300,21810,22252,53239
2024/07/30 00:00,22252,22348,21780,22284,61781
2024/07/31 00:00,22335,22727,22335,22660,64239
2024/08/01 00:00,22595,22636,21508,21526,101158
2024/08/02 00:00,21497,21524,19374,19374,139068
2024/08/05 00:00,19368,20788,18810,20455,204153
2024/08/06 00:00,20349,21334,19952,21142,170209
2024/08/07 00:00,21063,21431,20550,20698,188552
2024/08/08 00:00,20794,21591,20564,21483,183528
2024/08/09 00:00,21500,21894,21333,21676,167539
2024/08/12 00:00,21650,21923,21566,21771,124998
2024/08/13 00:00,21800,22156,21692,21996,115162
2024/08/14 00:00,22011,22199,21732,21840,140866
2024/08/15 00:00,21836,22445,21758,22365,120192
2024/08/16 00:00,22374,22520,22167,22361,107850
2024/08/19 00:00,22340,22578,22243,22435,80881
2024/08/20 00:00,22412,22465,22167,22202,29350
2024/08/21 00:00,22214,22300,22015,22100,117181
2024/08/22 00:00,22150,22295,21767,22123,140542
2024/08/23 00:00,22113,22450,22077,22210,145480
2024/08/26 00:00,22192,22310,21994,22152,103937
2024/08/27 00:00,22155,22411,22050,22405,119589
2024/08/28 00:00,22416,22548,21901,22167,149858
2024/08/29 00:00,22195,22478,22192,22318,123306
2024/08/30 00:00,22316,22445,22095,22212,124418
2024/09/02 00:00,22214,22313,22012,22051,90158
2024/09/03 00:00,22078,22149,20826,20940,198817
2024/09/04 00:00,20943,21452,20915,21183,173384
2024/09/05 00:00,21169,21470,21015,21316,184698
2024/09/06 00:00,21300,21508,20550,21083,249226
2024/09/09 00:00,21125,21345,20906,21005,168176
2024/09/10 00:00,21006,21183,20820,21006,162677
2024/09/11 00:00,21054,21779,20881,21703,210001
2024/09/12 00:00,21705,21894,21580,21815,134449
2024/09/13 00:00,21798,21892,21735,21815,85279
2024/09/16 00:00,21820,21878,21627,21694,33711
2024/09/18 00:00,21712,22080,21608,22075,138914
2024/09/19 00:00,22104,22434,22085,22216,141770
2024/09/20 00:00,22219,22391,22099,22338,110475
2024/09/23 00:00,22300,22507,22153,22493,114515
2024/09/24 00:00,22550,22901,22505,22792,128275
2024/09/25 00:00,22760,23076,22750,22957,121126
2024/09/26 00:00,23000,23394,22877,22892,175231
2024/09/27 00:00,22870,22981,22315,22326,179634
2024/09/30 00:00,22333,22462,22006,22391,149133
2024/10/01 00:00,22400,22506,21892,22286,195400
2024/10/03 00:00,22400,22506,21892,22288,195400
2024/10/04 00:00,22317,22807,22231,22767,164540
2024/10/07 00:00,22754,22758,22394,22578,137281
2024/10/08 00:00,22599,22880,22545,22699,127296
2024/10/09 00:00,22676,23048,22575,22911,124539
2024/10/11 00:00,22905,23075,22817,23005,100818
2024/10/14 00:00,23045,23385,23018,23228,89476
2024/10/15 00:00,23288,23323,22891,23061,55794
2024/10/16 00:00,23061,23275,23003,23256,124428
2024/10/17 00:00,23467,23987,23451,23657,195534
2024/10/18 00:00,23681,23883,23568,23574,110860
2024/10/21 00:00,23567,23686,23333,23621,141140
2024/10/22 00:00,23601,23666,23338,23409,118620
2024/10/23 00:00,23414,23464,23135,23290,163880
2024/10/24 00:00,23294,23482,23208,23476,110165
2024/10/25 00:00,23468,23707,23215,23322,148710
2024/10/28 00:00,23330,23385,22694,22979,150496
2024/10/29 00:00,23017,23140,22848,22901,119757
2024/10/30 00:00,22928,22993,22234,22767,159357
2024/11/01 00:00,22750,23042,22694,23036,129790
2024/11/03 23:00,23040,23204,22781,23137,126258
2024/11/04 23:00,23148,23446,23048,23319,152045
2024/11/05 23:00,23373,23575,22938,23525,197912
2024/11/06 23:00,23550,23792,23478,23774,129917
2024/11/07 23:00,23767,23841,23311,23572,155906
2024/11/10 23:00,23553,23566,22863,22875,168196
2024/11/11 23:00,22873,23014,22574,22786,175509
2024/11/12 23:00,22820,23075,22578,22692,186163
2024/11/13 23:00,22639,22928,22591,22762,140218
2024/11/14 23:00,22737,22830,22472,22573,143047
2024/11/17 23:00,22592,22968,22338,22848,136351
2024/11/18 23:00,22902,22997,22715,22779,56168
2024/11/19 23:00,22800,22820,22499,22575,152795
2024/11/20 23:00,22575,23065,22395,23032,208663
2024/11/21 23:00,23060,23288,22978,23062,124216
2024/11/24 23:00,23030,23032,22616,22634,131983
2024/11/25 23:00,22637,22760,22341,22352,134020
2024/11/26 23:00,22388,22467,22050,22330,163623
2024/11/27 23:00,22332,22437,22005,22307,113432
2024/11/28 23:00,22297,22825,22160,22822,137100
2024/12/01 23:00,22839,23176,22804,23111,114963
2024/12/02 23:00,23090,23293,22936,23286,128483
2024/12/03 23:00,23270,23363,23187,23252,97409
