datetime,open,high,low,close,volume
2025/02/02 19:45,22644,22655,22600,22628,4170
2025/02/02 20:45,22626,22702,22590,22595,9828
2025/02/02 23:00,22608,22652,22601,22631,3811
2025/02/03 00:00,22630,22693,22628,22679,3388
2025/02/03 01:00,22679,22695,22654,22668,2475
2025/02/03 02:00,22668,22732,22663,22710,3291
2025/02/03 03:00,22711,22725,22701,22719,1565
2025/02/03 04:00,22718,22720,22632,22636,3903
2025/02/03 05:00,22639,22688,22639,22651,3576
2025/02/03 06:00,22650,22710,22592,22701,10474
2025/02/03 07:00,22700,22934,22665,22903,18914
2025/02/03 08:00,22901,22923,22855,22871,5358
2025/02/03 09:00,22871,22902,22816,22850,3244
2025/02/03 10:00,22852,22880,22825,22875,1395
2025/02/03 11:00,22875,22932,22870,22884,1604
2025/02/03 12:00,22886,22897,22794,22800,2362
2025/02/03 16:45,22909,22941,22812,22828,15821
2025/02/03 17:45,22830,22906,22796,22850,10767
2025/02/03 18:45,22850,22867,22810,22824,4848
2025/02/03 19:45,22822,22891,22808,22867,4332
2025/02/03 20:45,22868,22875,22710,22825,14534
2025/02/03 23:00,22830,22895,22830,22884,4361
2025/02/04 00:00,22885,22896,22847,22875,3022
2025/02/04 01:00,22875,22895,22872,22893,1946
2025/02/04 02:00,22892,22915,22885,22905,2354
2025/02/04 03:00,22904,22927,22888,22891,2102
2025/02/04 04:00,22891,22925,22890,22918,1722
2025/02/04 05:00,22917,22936,22894,22902,2285
2025/02/04 06:00,22901,22966,22856,22960,8994
2025/02/04 07:00,22962,23025,22962,23002,8686
2025/02/04 08:00,23004,23075,23004,23063,4106
2025/02/04 09:00,23065,23070,23023,23060,2107
2025/02/04 10:00,23060,23095,23041,23066,1710
2025/02/04 11:00,23065,23085,23042,23062,733
2025/02/04 12:00,23060,23080,23023,23080,1344
2025/02/04 16:45,23066,23269,23063,23238,20926
2025/02/04 17:45,23234,23281,23178,23235,8960
2025/02/04 18:45,23237,23275,23226,23233,4857
2025/02/04 19:45,23234,23261,23204,23261,3984
2025/02/04 20:45,23261,23261,23108,23136,10909
2025/02/04 21:45,23134,23134,23134,23134,1
2025/02/04 23:00,23137,23175,23116,23158,3913
2025/02/05 00:00,23158,23182,23120,23125,3735
2025/02/05 01:00,23125,23145,23071,23079,5508
2025/02/05 02:00,23078,23123,23051,23115,3836
2025/02/05 03:00,23115,23149,23111,23148,2191
2025/02/05 04:00,23145,23149,23121,23135,1619
2025/02/05 05:00,23135,23177,23121,23168,3312
2025/02/05 06:00,23167,23204,23158,23189,6774
2025/02/05 07:00,23189,23261,23155,23261,10229
2025/02/05 08:00,23257,23338,23254,23334,7580
2025/02/05 09:00,23334,23359,23323,23340,2806
2025/02/05 10:00,23341,23353,23312,23329,1380
2025/02/05 11:00,23329,23343,23322,23326,567
2025/02/05 12:00,23327,23348,23303,23318,1775
2025/02/05 16:45,23360,23378,23288,23304,13461
2025/02/05 17:45,23302,23331,23257,23264,8055
2025/02/05 18:45,23263,23281,23235,23256,6074
2025/02/05 19:45,23256,23326,23252,23286,5217
2025/02/05 20:45,23285,23314,23255,23293,5853
2025/02/05 23:00,23292,23313,23266,23266,2643
2025/02/06 00:00,23266,23325,23252,23325,3738
2025/02/06 01:00,23325,23354,23312,23328,3539
2025/02/06 02:00,23329,23342,23303,23306,1820
2025/02/06 03:00,23305,23310,23273,23284,3368
2025/02/06 04:00,23283,23318,23273,23313,2919
2025/02/06 05:00,23315,23319,23244,23279,4878
2025/02/06 06:00,23278,23330,23268,23278,8251
2025/02/06 07:00,23277,23320,23248,23276,7125
2025/02/06 08:00,23276,23305,23268,23276,2241
2025/02/06 09:00,23276,23311,23266,23303,1320
2025/02/06 10:00,23305,23320,23285,23304,1083
2025/02/06 11:00,23301,23312,23248,23268,1704
2025/02/06 12:00,23269,23338,23267,23333,1679
2025/02/06 16:45,23290,23362,23281,23315,11222
2025/02/06 17:45,23316,23404,23316,23385,10948
2025/02/06 18:45,23385,23429,23380,23400,6347
2025/02/06 19:45,23401,23415,23385,23409,3067
2025/02/06 20:45,23410,23464,23389,23432,7599
2025/02/06 23:00,23427,23494,23427,23483,4062
2025/02/07 00:00,23481,23500,23465,23480,2426
2025/02/07 01:00,23480,23526,23473,23506,3190
2025/02/07 02:00,23506,23518,23477,23481,2424
2025/02/07 03:00,23481,23489,23455,23485,2355
2025/02/07 04:00,23486,23494,23468,23469,1620
2025/02/07 05:00,23470,23498,23413,23494,8663
2025/02/07 06:00,23495,23516,23476,23482,6603
2025/02/07 07:00,23482,23482,23272,23307,24503
2025/02/07 08:00,23310,23322,23252,23270,11109
2025/02/07 09:00,23267,23288,23235,23264,4927
2025/02/07 10:00,23263,23322,23255,23259,3048
2025/02/07 11:00,23258,23271,23224,23250,2366
2025/02/07 12:00,23249,23256,23210,23242,2424
2025/02/09 16:45,23315,23364,23258,23284,16630
2025/02/09 17:45,23280,23286,23222,23241,8789
2025/02/09 18:45,23240,23246,23167,23182,9406
