datetime,open,high,low,close,volume
2024/07/28 17:45,22400,22511,22150,22260,17982
2024/07/28 21:45,22260,22274,22197,22259,2244
2024/07/29 00:00,22260,22269,22155,22210,5459
2024/07/29 04:00,22209,22234,21985,21986,9361
2024/07/29 08:00,21985,22056,21888,22000,6525
2024/07/29 12:00,21999,22030,21962,21996,338
2024/07/29 17:45,21930,22228,21810,22184,26713
2024/07/29 21:45,22184,22300,22183,22259,4841
2024/07/30 00:00,22252,22318,22204,22283,6316
2024/07/30 04:00,22284,22311,22002,22005,12539
2024/07/30 08:00,22004,22010,21780,21921,11100
2024/07/30 12:00,21929,21972,21840,21890,1308
2024/07/30 17:45,21999,22348,21999,22263,27446
2024/07/30 21:45,22265,22290,22220,22288,3050
2024/07/31 00:00,22335,22459,22335,22418,9063
2024/07/31 04:00,22418,22566,22401,22512,14569
2024/07/31 08:00,22512,22673,22505,22662,6536
2024/07/31 12:00,22659,22687,22550,22687,1816
2024/07/31 17:45,22719,22727,22461,22604,28615
2024/07/31 21:45,22603,22666,22580,22655,3614
2024/08/01 00:00,22595,22636,22473,22524,11416
2024/08/01 04:00,22525,22605,22303,22305,21491
2024/08/01 08:00,22304,22322,22016,22018,18215
2024/08/01 12:00,22017,22180,22011,22131,2167
2024/08/01 17:45,22008,22099,21675,21698,38965
2024/08/01 21:45,21700,21709,21508,21536,8898
2024/08/02 00:00,21497,21524,21220,21282,20089
2024/08/02 04:00,21280,21310,20953,20995,27189
2024/08/02 08:00,20994,21297,20990,21164,14693
2024/08/02 12:00,21158,21250,21151,21151,1440
2024/08/04 17:45,20737,20747,19710,19740,61398
2024/08/04 21:45,19738,19760,19374,19374,14218
2024/08/05 00:00,19368,19788,19050,19542,32095
2024/08/05 04:00,19548,19860,18810,19784,50955
2024/08/05 08:00,19786,20374,19723,20024,31115
2024/08/05 12:00,20016,20235,19996,20235,1958
2024/08/05 17:45,20395,20788,19604,20488,76931
2024/08/05 21:45,20489,20536,20255,20422,11099
2024/08/06 00:00,20349,20427,20002,20180,30491
2024/08/06 04:00,20180,20470,19952,20430,40066
2024/08/06 08:00,20431,20745,20314,20642,19012
2024/08/06 12:00,20639,20645,20240,20314,6111
2024/08/06 17:45,20461,21334,20401,21278,67120
2024/08/06 21:45,21278,21292,21132,21135,7399
2024/08/07 00:00,21063,21431,20906,21350,36892
2024/08/07 04:00,21347,21430,21135,21261,38082
2024/08/07 08:00,21259,21330,20755,20797,29037
2024/08/07 12:00,20799,20949,20686,20695,5172
2024/08/07 17:45,20700,21080,20550,20805,69499
2024/08/07 21:45,20807,20876,20692,20693,9856
2024/08/08 00:00,20794,20818,20564,20720,28797
2024/08/08 04:00,20718,21257,20685,21240,46976
2024/08/08 08:00,21238,21380,21155,21361,20955
2024/08/08 12:00,21350,21444,21297,21437,3277
2024/08/08 17:45,21339,21591,21140,21449,63376
2024/08/08 21:45,21440,21535,21235,21475,20127
2024/08/09 00:00,21500,21818,21424,21664,33631
2024/08/09 04:00,21661,21733,21333,21488,50938
2024/08/09 08:00,21485,21675,21423,21567,19303
2024/08/09 12:00,21565,21630,21535,21566,2408
2024/08/11 17:45,21620,21894,21604,21776,51877
2024/08/11 21:45,21776,21783,21630,21671,9338
2024/08/12 00:00,21650,21759,21566,21703,18798
2024/08/12 04:00,21707,21878,21624,21853,32979
2024/08/12 08:00,21855,21923,21759,21816,21539
2024/08/12 12:00,21815,21815,21742,21798,1978
2024/08/12 17:45,21835,21898,21663,21795,44936
2024/08/12 21:45,21796,21815,21746,21770,4716
2024/08/13 00:00,21800,21857,21692,21711,17083
2024/08/13 04:00,21710,21915,21703,21903,26727
2024/08/13 08:00,21902,22120,21902,22112,16708
2024/08/13 12:00,22114,22140,22084,22119,2148
2024/08/13 17:45,22149,22156,21910,21991,48332
2024/08/13 21:45,21990,22013,21956,21983,4132
2024/08/14 00:00,22011,22136,21986,22109,13360
2024/08/14 04:00,22109,22199,21732,21886,51540
2024/08/14 08:00,21884,22035,21851,21972,24699
2024/08/14 12:00,21973,21984,21915,21940,1958
2024/08/14 17:45,21990,22114,21887,21965,41617
2024/08/14 21:45,21965,21969,21837,21844,7671
2024/08/15 00:00,21836,21885,21784,21810,14594
2024/08/15 04:00,21810,22270,21758,22240,46276
2024/08/15 08:00,22242,22407,22234,22376,15926
2024/08/15 12:00,22377,22379,22322,22360,1751
2024/08/15 17:45,22366,22445,22278,22375,38537
2024/08/15 21:45,22375,22390,22353,22369,3046
2024/08/16 00:00,22374,22393,22233,22284,14605
2024/08/16 04:00,22285,22372,22167,22278,34069
2024/08/16 08:00,22280,22400,22250,22388,12717
2024/08/16 12:00,22385,22394,22336,22360,1281
2024/08/18 17:45,22396,22520,22321,22342,40067
2024/08/18 21:45,22342,22375,22333,22356,5038
2024/08/19 00:00,22340,22404,22243,22361,13918
