datetime,open,high,low,close,volume
2012/05/08 00:00,7425,7516,7425,7479,105113
2012/05/09 00:00,7458,7464,7356,7366,116762
2012/05/11 00:00,7305,7406,7290,7384,113623
2012/05/14 00:00,7356,7386,7356,7356,79053
2012/05/15 00:00,7266,7333,7251,7314,107382
2012/05/16 00:00,7164,7230,7128,7135,137508
2012/05/18 00:00,7250,7260,7202,7236,84457
2012/05/21 00:00,7151,7170,7090,7135,104162
2012/05/22 00:00,7156,7178,7082,7129,110432
2012/05/23 00:00,7155,7159,7048,7058,112160
2012/05/25 00:00,7124,7336,7105,7294,133522
2012/05/28 00:00,7270,7273,7196,7234,106158
2012/05/29 00:00,7142,7255,7085,7217,133197
2012/05/30 00:00,7200,7210,7075,7096,148958
2012/06/01 00:00,6949,7005,6925,6970,119982
2012/06/04 00:00,6989,7055,6958,7015,119994
2012/06/05 00:00,7135,7146,7020,7047,109350
2012/06/06 00:00,7007,7040,6946,6955,113544
2012/06/08 00:00,6976,7038,6962,7019,91231
2012/06/12 00:00,7049,7070,7002,7048,92489
2012/06/13 00:00,7042,7107,7033,7063,92161
2012/06/14 00:00,7050,7160,7042,7154,105833
2012/06/15 00:00,7300,7323,7244,7265,92004
2012/06/18 00:00,7266,7270,7234,7265,80407
2012/06/19 00:00,7153,7182,7139,7169,45126
2012/06/20 00:00,7160,7163,7093,7117,87665
2012/06/21 00:00,7002,7047,6995,7034,86796
2012/06/22 00:00,6952,6978,6938,6948,79925
2012/06/25 00:00,6944,6960,6923,6939,61535
2012/06/26 00:00,6918,7005,6898,6986,89541
2012/06/27 00:00,7021,7037,6962,7001,93508
2012/06/28 00:00,6982,7128,6981,7114,125080
2012/06/29 00:00,7133,7152,7107,7136,61181
2012/07/02 00:00,7177,7280,7161,7228,100095
2012/07/03 00:00,7268,7327,7251,7290,83106
2012/07/04 00:00,7303,7321,7277,7297,61592
2012/07/05 00:00,7288,7319,7237,7272,88904
2012/07/06 00:00,7204,7272,7202,7236,78681
2012/07/09 00:00,7251,7270,7162,7181,111304
2012/07/10 00:00,7138,7204,7133,7186,84861
2012/07/11 00:00,7186,7188,7067,7079,120546
2012/07/12 00:00,7070,7108,7045,7071,96058
2012/07/13 00:00,7089,7110,7020,7057,98746
2012/07/16 00:00,7048,7136,7030,7107,123931
2012/07/17 00:00,6972,6982,6885,6887,56820
2012/07/18 00:00,6974,7032,6945,7022,105346
2012/07/19 00:00,7022,7039,6996,7013,72895
2012/07/20 00:00,6915,6932,6845,6873,89331
2012/07/23 00:00,6862,6889,6850,6874,70435
2012/07/24 00:00,6782,6912,6775,6846,109485
2012/07/25 00:00,6856,6905,6832,6875,89439
2012/07/26 00:00,6969,7031,6946,7028,101947
2012/07/27 00:00,7082,7102,7055,7078,73940
2012/07/30 00:00,7102,7179,7061,7157,111301
2012/07/31 00:00,7139,7212,7135,7194,91583
2012/08/02 00:00,7140,7164,7116,7140,77401
2012/08/03 00:00,7278,7314,7236,7237,87031
2012/08/06 00:00,7233,7263,7223,7236,62956
2012/08/07 00:00,7306,7336,7277,7300,103055
2012/08/08 00:00,7371,7452,7346,7438,125910
2012/08/09 00:00,7453,7465,7425,7444,68582
2012/08/10 00:00,7444,7475,7430,7453,67806
2012/08/13 00:00,7484,7545,7451,7495,113777
2012/08/14 00:00,7479,7483,7428,7430,41895
2012/08/15 00:00,7460,7520,7441,7493,91628
2012/08/16 00:00,7503,7511,7467,7474,66804
2012/08/17 00:00,7464,7475,7398,7441,85890
2012/08/20 00:00,7465,7553,7458,7515,104595
2012/08/21 00:00,7494,7508,7453,7490,73832
2012/08/22 00:00,7476,7534,7468,7513,92576
2012/08/23 00:00,7450,7490,7442,7487,63615
2012/08/24 00:00,7535,7551,7452,7454,85683
2012/08/27 00:00,7435,7443,7375,7399,90608
2012/08/28 00:00,7404,7413,7381,7403,48276
2012/08/29 00:00,7360,7395,7341,7367,84738
2012/08/30 00:00,7375,7420,7363,7382,75810
2012/08/31 00:00,7370,7465,7352,7442,95691
2012/09/03 00:00,7443,7470,7430,7448,49798
2012/09/04 00:00,7401,7411,7341,7344,89655
2012/09/05 00:00,7332,7368,7286,7332,88818
2012/09/06 00:00,7471,7479,7404,7419,86302
2012/09/07 00:00,7421,7469,7414,7456,67675
2012/09/10 00:00,7437,7490,7436,7465,59702
2012/09/11 00:00,7525,7586,7510,7583,92821
2012/09/12 00:00,7592,7609,7571,7576,65782
2012/09/13 00:00,7698,7758,7671,7738,103221
