datetime,open,high,low,close,volume
2024/12/30 23:00,23023,23040,22995,23013,2271
2024/12/31 00:00,23015,23031,22991,23016,1390
2024/12/31 01:00,23015,23095,23015,23078,2124
2024/12/31 02:00,23079,23089,23065,23088,937
2024/12/31 03:00,23090,23137,23081,23135,2421
2024/12/31 04:00,23133,23159,23106,23108,2354
2024/12/31 05:00,23110,23153,23101,23136,2031
2024/12/31 06:00,23135,23168,23083,23105,5025
2024/12/31 07:00,23105,23130,23051,23077,4541
2024/12/31 08:00,23078,23092,23033,23072,3354
2024/12/31 09:00,23072,23088,22972,23044,4080
2024/12/31 10:00,23042,23048,22944,22979,2994
2024/12/31 11:00,22975,23003,22931,22988,2092
2024/12/31 12:00,22986,23032,22964,22986,2373
2025/01/01 16:45,22935,22995,22859,22900,25083
2025/01/01 17:45,22901,22945,22826,22860,14223
2025/01/01 18:45,22858,22870,22753,22758,12449
2025/01/01 19:45,22757,22790,22708,22710,7705
2025/01/01 20:45,22711,22876,22689,22842,19028
2025/01/01 21:45,22842,22842,22842,22842,2
2025/01/01 23:00,22853,22890,22812,22821,3131
2025/01/02 00:00,22824,22878,22790,22833,3618
2025/01/02 01:00,22834,22862,22825,22852,1922
2025/01/02 02:00,22853,22865,22827,22837,1157
2025/01/02 03:00,22838,22907,22821,22905,2393
2025/01/02 04:00,22904,22926,22874,22881,2851
2025/01/02 05:00,22883,22903,22866,22883,2022
2025/01/02 06:00,22884,22989,22833,22974,12139
2025/01/02 07:00,22977,22997,22908,22943,7695
2025/01/02 08:00,22943,22987,22872,22951,5485
2025/01/02 09:00,22954,22964,22731,22804,6912
2025/01/02 10:00,22804,22806,22740,22776,2976
2025/01/02 11:00,22773,22838,22758,22798,1999
2025/01/02 12:00,22800,22868,22786,22847,2141
2025/01/02 16:45,22935,23078,22923,22948,22069
2025/01/02 17:45,22949,23019,22905,23013,12199
2025/01/02 18:45,23014,23108,23003,23032,12644
2025/01/02 19:45,23032,23065,22971,22984,6179
2025/01/02 20:45,22983,22991,22952,22979,9172
2025/01/02 21:45,22977,22977,22977,22977,3
2025/01/02 23:00,22977,23010,22958,23007,2432
2025/01/03 00:00,23008,23032,22940,22958,3173
2025/01/03 01:00,22955,23012,22950,22986,1842
2025/01/03 02:00,22985,22997,22967,22972,1164
2025/01/03 03:00,22975,23010,22968,23007,1241
2025/01/03 04:00,23005,23007,22988,22999,732
2025/01/03 05:00,23000,23040,22998,23016,2155
2025/01/03 06:00,23017,23125,23013,23090,7787
2025/01/03 07:00,23100,23143,23052,23127,8893
2025/01/03 08:00,23127,23164,23120,23145,3999
2025/01/03 09:00,23148,23165,23130,23162,1883
2025/01/03 10:00,23164,23198,23153,23191,1869
2025/01/03 11:00,23189,23245,23182,23225,2549
2025/01/03 12:00,23224,23227,23203,23226,1543
2025/01/05 16:45,23222,23415,23218,23414,24976
2025/01/05 17:45,23413,23519,23408,23486,13943
2025/01/05 18:45,23486,23598,23472,23587,10531
2025/01/05 19:45,23589,23607,23555,23564,8302
2025/01/05 20:45,23562,23620,23559,23609,13591
2025/01/05 23:00,23636,23697,23618,23662,4128
2025/01/06 00:00,23662,23736,23657,23731,2827
2025/01/06 01:00,23731,23821,23726,23818,3659
2025/01/06 02:00,23817,23825,23781,23791,2865
2025/01/06 03:00,23794,23895,23774,23879,4655
2025/01/06 04:00,23879,23936,23865,23926,2759
2025/01/06 05:00,23921,23956,23911,23950,2968
2025/01/06 06:00,23951,23952,23780,23846,12344
2025/01/06 07:00,23849,23941,23826,23922,6278
2025/01/06 08:00,23922,23934,23882,23896,2705
2025/01/06 09:00,23897,23899,23851,23873,1967
2025/01/06 10:00,23871,23901,23842,23852,1665
2025/01/06 11:00,23852,23904,23836,23865,1822
2025/01/06 12:00,23863,23892,23828,23874,1672
2025/01/06 16:45,23965,23990,23832,23896,20273
2025/01/06 17:45,23897,23938,23841,23857,9153
2025/01/06 18:45,23857,23867,23760,23811,10578
2025/01/06 19:45,23813,23838,23755,23786,7171
2025/01/06 20:45,23785,23793,23723,23752,12989
2025/01/06 23:00,23758,23828,23754,23813,2962
2025/01/07 00:00,23815,23870,23797,23863,2391
2025/01/07 01:00,23862,23868,23827,23833,1549
2025/01/07 02:00,23834,23883,23828,23875,1584
2025/01/07 03:00,23872,23876,23843,23851,1290
2025/01/07 04:00,23852,23880,23842,23858,1121
2025/01/07 05:00,23859,23895,23855,23877,1789
2025/01/07 06:00,23876,23887,23711,23720,10991
2025/01/07 07:00,23717,23717,23551,23636,16712
2025/01/07 08:00,23633,23678,23589,23596,6278
2025/01/07 09:00,23596,23624,23531,23560,3988
2025/01/07 10:00,23561,23620,23555,23584,1525
2025/01/07 11:00,23586,23600,23569,23575,691
2025/01/07 12:00,23576,23577,23476,23477,3273
2025/01/07 16:45,23549,23649,23533,23583,18521
2025/01/07 17:45,23583,23615,23556,23575,8334
2025/01/07 18:45,23575,23589,23469,23491,10939
2025/01/07 19:45,23492,23534,23448,23454,6587
2025/01/07 20:45,23455,23505,23439,23450,12958
2025/01/07 23:00,23400,23426,23350,23412,4642
2025/01/08 00:00,23410,23444,23378,23430,2331
2025/01/08 01:00,23428,23487,23421,23468,2729
2025/01/08 02:00,23468,23477,23450,23473,1321
2025/01/08 03:00,23472,23477,23288,23357,7361
2025/01/08 04:00,23359,23372,23294,23301,4323
2025/01/08 05:00,23301,23423,23298,23417,4488
2025/01/08 06:00,23418,23428,23273,23354,11085
2025/01/08 07:00,23355,23391,23293,23339,6676
2025/01/08 08:00,23338,23388,23303,23365,3111
2025/01/08 09:00,23367,23369,23252,23294,3907
2025/01/08 10:00,23293,23362,23271,23298,2289
2025/01/08 11:00,23295,23377,23278,23323,1767
2025/01/08 12:00,23326,23364,23309,23338,1130
2025/01/08 16:45,23258,23410,23251,23366,18992
2025/01/08 17:45,23364,23386,23323,23330,7165
2025/01/08 18:45,23330,23334,23255,23280,6916
2025/01/08 19:45,23280,23284,23122,23134,13461
2025/01/08 20:45,23135,23165,23083,23105,13495
2025/01/08 23:00,23085,23127,23024,23033,4562
2025/01/09 00:00,23033,23115,23006,23105,3580
2025/01/09 01:00,23106,23122,23082,23116,1813
2025/01/09 02:00,23115,23185,23111,23150,3689
2025/01/09 03:00,23149,23158,23126,23146,1531
2025/01/09 04:00,23148,23167,23103,23137,1888
2025/01/09 05:00,23135,23196,23128,23172,2755
2025/01/09 06:00,23170,23175,23133,23140,2240
2025/01/09 07:00,23139,23167,23139,23153,1111
2025/01/09 08:00,23152,23165,23145,23154,678
2025/01/09 09:00,23156,23166,23150,23157,255
2025/01/09 10:00,23160,23172,23153,23154,251
2025/01/09 11:00,23157,23162,23150,23158,142
2025/01/09 12:00,23158,23166,23152,23155,412
2025/01/09 16:45,23083,23141,23016,23110,18979
2025/01/09 17:45,23110,23118,22975,23021,13791
