datetime,open,high,low,close,volume
2022/01/02 16:45,18288,18389,18203,18252,84438
2022/01/02 20:45,18253,18283,18242,18273,12493
2022/01/03 16:45,18361,18497,18359,18487,75523
2022/01/03 20:45,18486,18522,18475,18516,15166
2022/01/03 23:00,18516,18566,18505,18562,7631
2022/01/04 03:00,18562,18577,18530,18571,8464
2022/01/04 07:00,18571,18573,18474,18477,15082
2022/01/04 11:00,18479,18530,18475,18520,2727
2022/01/04 16:45,18480,18546,18449,18461,68021
2022/01/04 20:45,18462,18488,18438,18480,13965
2022/01/04 23:00,18495,18565,18489,18547,9566
2022/01/05 03:00,18547,18559,18521,18540,7887
2022/01/05 07:00,18540,18548,18484,18499,9104
2022/01/05 11:00,18499,18519,18304,18314,12294
2022/01/05 16:45,18345,18419,18258,18281,92818
2022/01/05 20:45,18281,18364,18238,18335,26724
2022/01/05 23:00,18343,18399,18339,18371,12825
2022/01/06 03:00,18372,18422,18362,18369,10696
2022/01/06 07:00,18370,18430,18333,18402,17670
2022/01/06 11:00,18402,18423,18370,18391,2908
2022/01/06 16:45,18459,18478,18115,18161,118270
2022/01/06 20:45,18162,18206,18140,18143,19127
2022/01/06 23:00,18131,18182,18102,18170,12981
2022/01/07 03:00,18170,18195,18135,18167,11766
2022/01/07 07:00,18168,18171,18062,18124,20020
2022/01/07 11:00,18126,18163,18112,18125,3401
2022/01/09 16:45,18075,18246,18022,18225,82031
2022/01/09 20:45,18223,18264,18200,18258,14258
2022/01/09 23:00,18269,18305,18258,18284,10991
2022/01/10 03:00,18284,18286,18168,18177,16080
2022/01/10 07:00,18175,18180,18091,18166,22100
2022/01/10 11:00,18168,18207,18137,18207,5369
2022/01/10 16:45,18200,18295,18102,18208,99151
2022/01/10 20:45,18209,18284,18173,18280,19909
2022/01/10 23:00,18250,18286,18217,18270,12813
2022/01/11 03:00,18270,18277,18225,18268,11960
2022/01/11 07:00,18270,18357,18254,18356,17948
2022/01/11 11:00,18356,18391,18347,18379,3234
2022/01/11 16:45,18403,18411,18271,18317,71879
2022/01/11 20:45,18318,18379,18303,18375,18182
2022/01/11 23:00,18383,18394,18357,18384,7956
2022/01/12 03:00,18384,18444,18372,18441,12272
2022/01/12 07:00,18442,18446,18362,18411,15285
2022/01/12 11:00,18409,18441,18403,18431,2275
2022/01/12 16:45,18433,18485,18364,18420,80560
2022/01/12 20:45,18421,18446,18414,18425,14460
2022/01/12 23:00,18481,18568,18477,18556,18401
2022/01/13 03:00,18557,18650,18547,18642,15440
2022/01/13 07:00,18643,18646,18550,18592,20648
2022/01/13 11:00,18591,18607,18538,18550,4276
2022/01/13 16:45,18549,18560,18220,18301,135448
2022/01/13 20:45,18301,18391,18296,18357,19788
2022/01/13 23:00,18386,18422,18380,18404,10530
2022/01/14 03:00,18405,18418,18307,18415,18654
2022/01/14 07:00,18416,18442,18353,18404,17454
2022/01/14 11:00,18404,18435,18384,18435,3119
2022/01/16 16:45,18417,18522,18387,18490,82427
2022/01/16 20:45,18489,18537,18488,18509,18045
2022/01/16 23:00,18519,18552,18505,18539,8028
2022/01/17 03:00,18538,18545,18516,18529,4736
2022/01/17 07:00,18528,18535,18507,18528,2858
2022/01/17 11:00,18526,18536,18510,18530,871
2022/01/17 16:45,18531,18583,18437,18440,82973
2022/01/17 20:45,18438,18454,18347,18349,27959
2022/01/17 23:00,18325,18349,18270,18296,2650
2022/01/18 03:00,18295,18324,18262,18286,2652
2022/01/18 07:00,18285,18313,18231,18260,2765
2022/01/18 11:00,18260,18288,18215,18218,950
2022/01/18 16:45,18258,18309,18162,18202,43094
2022/01/18 20:45,18202,18208,18141,18143,17783
2022/01/18 23:00,18158,18236,18135,18224,18347
2022/01/19 03:00,18225,18250,18201,18239,11863
2022/01/19 07:00,18239,18244,18179,18213,15942
2022/01/19 11:00,18212,18215,18152,18152,3762
2022/01/19 16:45,18203,18255,18081,18229,99293
2022/01/19 20:45,18229,18270,18208,18226,19744
2022/01/19 23:00,18248,18252,18194,18220,11290
2022/01/20 03:00,18221,18252,18214,18247,10082
2022/01/20 07:00,18247,18287,18231,18254,13208
2022/01/20 11:00,18256,18268,18043,18071,10709
2022/01/20 16:45,18026,18050,17862,17872,132080
2022/01/20 20:45,17872,17903,17836,17895,25664
2022/01/20 23:00,17900,17950,17877,17937,15021
2022/01/21 03:00,17935,17936,17858,17874,17136
